GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
RegexMatcher,regexmatcher.util,MatcherFactory,0,66,2,12,0,15,2,7,0,2
RegexMatcher,regexmatcher.util,Matcher,2,323,2,54,1,65,2,35,0,9
RegexMatcher,regexmatcher.util,NFAfactory,0,1134,8,117,0,190,8,78,0,18
RegexMatcher,regexmatcher.util,DFAfactory,0,379,5,37,0,69,5,24,0,8
RegexMatcher,regexmatcher.domain,List,0,125,0,18,0,27,0,17,0,8
RegexMatcher,regexmatcher.domain,Edge,0,15,0,0,0,6,0,3,0,3
RegexMatcher,regexmatcher.domain,Stack,0,118,0,10,0,25,0,12,0,7
RegexMatcher,regexmatcher.domain,DFAnode,2,67,1,7,1,18,1,9,0,6
RegexMatcher,regexmatcher.domain,Node,0,25,0,0,0,10,0,5,0,5
RegexMatcher,regexmatcher.ui,TextUserInterface,0,174,1,21,0,58,1,17,0,7
